Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2022-01-07T04:00+01:00,4094.27,23967.68,35923.07,101.98
2022-01-07T05:00+01:00,4083.6,25413.77,36487.39,114.99
2022-01-07T06:00+01:00,4079.73,27854.64,38338.3,140.19
2022-01-07T07:00+01:00,4076.98,29565.42,39943,152.64
2022-01-07T08:00+01:00,4087.09,30661.99,40759.14,160.97
2022-01-07T09:00+01:00,4095.03,31353.29,41086.67,161.85
2022-01-07T10:00+01:00,4097.26,31596.81,41779.39,161.37
2022-01-07T11:00+01:00,4093.05,31659.11,42255.54,166.06
2022-01-07T12:00+01:00,4095.54,31931.21,41807.51,166.54
2022-01-07T13:00+01:00,4093.81,32335.69,40079.22,166.04
2022-01-07T14:00+01:00,4093.22,32079.02,37599.62,169.43
2022-01-07T15:00+01:00,4093.14,32400.12,34216.18,189.7
2022-01-07T16:00+01:00,4091.65,32266.72,32615.06,201.97
2022-01-07T17:00+01:00,4056.99,32366.07,32416.56,243.11
2022-01-07T18:00+01:00,3987.72,32449.34,31177.93,253.81
2022-01-07T19:00+01:00,3997.01,32247.49,30551.59,237.05
2022-01-07T20:00+01:00,3994.47,31254.03,29469.46,224.33
2022-01-07T21:00+01:00,4082.21,31224.66,28846.8,213.81
2022-01-07T22:00+01:00,4097.38,30953.72,27514.7,185.94
2022-01-07T23:00+01:00,4095.96,29261.43,26635.41,148.32
2022-01-08T00:00+01:00,4093.11,28101.17,25374.01,164.17
2022-01-08T01:00+01:00,3974.24,28186.91,25014.12,152.83
2022-01-08T02:00+01:00,3974.19,28244.52,24188.5,166
2022-01-08T03:00+01:00,3975.87,27974.77,24274.32,160.86
2022-01-08T04:00+01:00,3981.63,28310.06,23182.51,160
2022-01-08T05:00+01:00,4095.52,28511.04,23227.47,154.3
2022-01-08T06:00+01:00,4081.54,28722.72,23954.49,166
2022-01-08T07:00+01:00,4079.86,28792.92,23819.74,182.91
2022-01-08T08:00+01:00,4089.6,29490.2,24671.52,215.89
2022-01-08T09:00+01:00,4089.19,29786.57,26630.74,231
2022-01-08T10:00+01:00,4089.93,29350.02,27502.26,228.95
2022-01-08T11:00+01:00,4088.09,29372.46,30174.43,215.39
2022-01-08T12:00+01:00,4088.77,29243.39,32356.65,206.68
2022-01-08T13:00+01:00,4089.53,28953.52,34483.86,185
2022-01-08T14:00+01:00,4086.66,28524.17,35415.12,169.52
2022-01-08T15:00+01:00,4086.43,28432.16,34429.24,162.8
2022-01-08T16:00+01:00,4088.05,28240.24,34995.89,161.34
2022-01-08T17:00+01:00,4087.67,28027.42,37346.75,189.9
2022-01-08T18:00+01:00,4090.48,27771.89,39957.63,170.71
2022-01-08T19:00+01:00,4091.32,25939.6,41771.46,140.23
2022-01-08T20:00+01:00,4093.78,23114.01,43176.86,102.54
2022-01-08T21:00+01:00,4093.86,21289.52,43868.98,102.18
2022-01-08T22:00+01:00,4088.2,20958.85,43349.53,102.29
2022-01-08T23:00+01:00,4090.23,19113.8,43376.96,90.05
2022-01-09T00:00+01:00,4091.91,17183.02,42589.48,85.03
2022-01-09T01:00+01:00,4094.98,16532.08,41711.86,84.4
2022-01-09T02:00+01:00,4095.11,15618.11,38713.1,80.24
2022-01-09T03:00+01:00,4095.48,14457.12,38198.85,55.46
2022-01-09T04:00+01:00,3596.72,14852.36,36788.87,49.29
2022-01-09T05:00+01:00,2992.91,15076.93,35588.88,50.64
2022-01-09T06:00+01:00,2665.02,16122.2,36250.23,74.29
2022-01-09T07:00+01:00,2660.66,17865.87,36969.92,84.44
2022-01-09T08:00+01:00,2658.13,20649.44,36415.44,97.26
2022-01-09T09:00+01:00,2655.56,24033.53,36334.37,119.97
2022-01-09T10:00+01:00,2660.55,25670.01,36290.14,134.96
2022-01-09T11:00+01:00,2662.7,26493.02,37059.24,149.4
2022-01-09T12:00+01:00,2667.56,26561.07,36086.48,165.13
2022-01-09T13:00+01:00,2664.34,26828.31,34767.56,165.06
2022-01-09T14:00+01:00,2667.85,27002.98,31671.83,170.09
2022-01-09T15:00+01:00,2665.56,28037.57,28259.36,189.04
2022-01-09T16:00+01:00,2662.71,30356.17,25908.59,190.96
2022-01-09T17:00+01:00,2669.19,31362.94,24192.8,223.3
2022-01-09T18:00+01:00,2672.25,32386.71,22962.29,243.94
2022-01-09T19:00+01:00,2669.11,33247.46,21815.64,240
2022-01-09T20:00+01:00,2669.7,33666.09,21023.19,230.82
2022-01-09T21:00+01:00,2666.8,33884.59,20068.82,214.02
2022-01-09T22:00+01:00,2667.99,33889.42,18389.4,215.88
2022-01-09T23:00+01:00,2669.67,33383.15,17389.24,203.8
2022-01-10T00:00+01:00,2664.38,33629.18,15757.88,196.23
2022-01-10T01:00+01:00,2670.37,34057.09,14439.12,191.85
2022-01-10T02:00+01:00,2671.27,34184.26,13388.76,195.91
2022-01-10T03:00+01:00,2671.45,34456.74,12288.48,186.66
2022-01-10T04:00+01:00,2671.97,34682.83,11537.14,178.04
2022-01-10T05:00+01:00,2674.59,35439.09,11158.17,191.65
2022-01-10T06:00+01:00,2673.5,36669.44,10887.41,237.44
2022-01-10T07:00+01:00,2675.02,38650.51,10638.33,299.95
2022-01-10T08:00+01:00,2677.68,40286.27,10852.5,313.92
2022-01-10T09:00+01:00,2674.21,40753.13,11342.48,315
2022-01-10T10:00+01:00,2675.09,40729.93,12836.85,310.41
2022-01-10T11:00+01:00,2674.73,40570.85,14383.89,310.08
2022-01-10T12:00+01:00,2675.54,40735.08,15246.19,300
2022-01-10T13:00+01:00,2673.83,41004.24,15130.65,297.01
2022-01-10T14:00+01:00,2675.84,40919.19,13709.28,299.96
2022-01-10T15:00+01:00,2677.02,41067.5,11565.35,306.45
2022-01-10T16:00+01:00,2672.86,41250.74,9872.03,302.73
2022-01-10T17:00+01:00,2668.93,41194.4,9864.51,315.47
2022-01-10T18:00+01:00,2666,41209.41,10029,310.82
2022-01-10T19:00+01:00,2673.13,41110.75,10315.01,294.98
2022-01-10T20:00+01:00,2672.29,39609.08,10485.31,267.45
2022-01-10T21:00+01:00,2690.89,38785.55,10415.41,242.29
2022-01-10T22:00+01:00,3049.02,38342.64,10395.03,217.03
2022-01-10T23:00+01:00,3098.72,38041.85,10411.52,195.83
2022-01-11T00:00+01:00,3851.6,37261.12,10846.92,210.34
2022-01-11T01:00+01:00,4000.88,36700.53,11249.19,202.42
2022-01-11T02:00+01:00,4004.1,36280.6,11220.31,197.6
2022-01-11T03:00+01:00,4007.93,36437.59,11318.29,193
2022-01-11T04:00+01:00,4084.87,36627,11885.19,194.9
2022-01-11T05:00+01:00,4086.04,36825.44,12188.72,204.45
2022-01-11T06:00+01:00,4086.05,38811.81,13062.74,237.13
2022-01-11T07:00+01:00,4086.1,39828.17,14046.81,298.68
2022-01-11T08:00+01:00,4081.14,40149.83,15364.09,302.02
2022-01-11T09:00+01:00,4084.19,40274.07,16940.33,297.16
2022-01-11T10:00+01:00,4089.15,40178.7,19653.85,277.02
2022-01-11T11:00+01:00,4087.85,39931.58,23063.62,266.43
2022-01-11T12:00+01:00,4087.69,39255.79,24862.23,254.92
2022-01-11T13:00+01:00,4080.05,39688.62,23811.84,248.89
2022-01-11T14:00+01:00,4084.91,39675.46,21647.84,255.01
2022-01-11T15:00+01:00,4078.77,39881.7,18495.99,277.9
2022-01-11T16:00+01:00,4071.52,40184.67,16252.44,289.94
2022-01-11T17:00+01:00,4073.91,40989.46,16306.55,316.4
2022-01-11T18:00+01:00,4080.57,41371.81,16509.32,315.9
2022-01-11T19:00+01:00,4084.76,41119.6,15976.68,309.2
2022-01-11T20:00+01:00,4064.68,40616.91,15908.18,285.33
2022-01-11T21:00+01:00,3995.03,39532.57,15142.95,245.44
2022-01-11T22:00+01:00,3810.94,39171.67,14073.56,237.27
2022-01-11T23:00+01:00,3811.25,38282.98,13510.29,212.49
2022-01-12T00:00+01:00,3754.68,37887.79,13191.44,196.65
2022-01-12T01:00+01:00,3749.76,37539.51,12722.08,187.1
2022-01-12T02:00+01:00,3747.61,36734.74,12505.76,184.27
2022-01-12T03:00+01:00,3750.17,36828.58,12204.3,179.58
2022-01-12T04:00+01:00,3750.11,37023.4,12023.39,178.33
2022-01-12T05:00+01:00,3750.67,37745.84,11581.07,193.5
2022-01-12T06:00+01:00,3746.69,39595.69,11524.67,240.56
2022-01-12T07:00+01:00,3740.58,40318.8,11505.76,273.18
2022-01-12T08:00+01:00,3845.78,40781.02,11537.48,300.1
2022-01-12T09:00+01:00,4010.01,41322.07,12924.18,292.74
2022-01-12T10:00+01:00,4089.36,41100,15769,275.5
2022-01-12T11:00+01:00,4097.97,40465.12,18720.24,258.65
2022-01-12T12:00+01:00,4097.45,40670.46,21296.07,245.11
2022-01-12T13:00+01:00,4096.25,40416.89,21784.95,232.08
2022-01-12T14:00+01:00,4093.7,40311.52,20770.85,234.77
2022-01-12T15:00+01:00,4096.87,40291.03,18824.17,240.01
2022-01-12T16:00+01:00,4085.93,40710.08,17087.26,255
2022-01-12T17:00+01:00,4088.02,41081.64,18098.58,284.82
2022-01-12T18:00+01:00,4091.03,40782.27,19042.68,285.97
2022-01-12T19:00+01:00,4096.04,40117.31,19582.5,269.03
2022-01-12T20:00+01:00,4100.63,39367.8,20794.33,235.25
2022-01-12T21:00+01:00,4098.79,39023.78,22369.73,191.5
2022-01-12T22:00+01:00,4098.06,37874.46,22521.64,193.69
2022-01-12T23:00+01:00,4100.31,35563.73,22889.3,172.18
2022-01-13T00:00+01:00,4100.09,32864.93,23721.31,173.14
2022-01-13T01:00+01:00,4096.2,31916.51,24784.85,161.69
2022-01-13T02:00+01:00,4095.39,31448.84,26220.73,153.58
2022-01-13T03:00+01:00,4096.72,31433.02,27254.13,147.07
2022-01-13T04:00+01:00,4094.87,31495.18,27920.69,152.47
2022-01-13T05:00+01:00,4095.54,32222.54,28512.63,171.26
2022-01-13T06:00+01:00,4094.75,33902.9,29424.57,192.03
2022-01-13T07:00+01:00,4090.97,36820.55,29534.89,215.24
2022-01-13T08:00+01:00,4090.61,37342.21,29347.66,235.9
2022-01-13T09:00+01:00,4094.45,37372.56,29953.4,219.99
2022-01-13T10:00+01:00,4093.55,36916.73,32312.07,180.08
2022-01-13T11:00+01:00,4096.14,36639.04,35569.21,170.16
2022-01-13T12:00+01:00,4092.48,36189.21,38158.7,152.53
2022-01-13T13:00+01:00,4091.68,35798.22,38340.11,134.13
2022-01-13T14:00+01:00,4091.65,35516.72,37503.07,171.01
2022-01-13T15:00+01:00,4091.82,35988.41,34303.43,201.59
2022-01-13T16:00+01:00,4091.87,36499.47,31660.47,205.38
2022-01-13T17:00+01:00,4092.53,36571.79,30640.74,220.3
2022-01-13T18:00+01:00,4093.14,36773.43,30762.19,212.76
2022-01-13T19:00+01:00,4092.29,36866.27,31102.88,210
2022-01-13T20:00+01:00,4098.64,35614.31,31539.69,192.69
2022-01-13T21:00+01:00,4090.76,33408.94,31808.37,164.46
2022-01-13T22:00+01:00,4094.11,32334.56,31243.56,164.2
2022-01-13T23:00+01:00,4093.94,30477.74,32577.96,122.09
2022-01-14T00:00+01:00,4087.38,29762.7,32890.43,120.04
2022-01-14T01:00+01:00,4095.12,29086.03,32668.04,110.03
2022-01-14T02:00+01:00,4096.84,27734.55,32333.42,108.24
2022-01-14T03:00+01:00,4097.23,27572.44,32412.05,107.46
2022-01-14T04:00+01:00,4095.95,27988.83,32187.53,109.82
2022-01-14T05:00+01:00,4090.96,29898.23,32470.21,140.52
2022-01-14T06:00+01:00,4084.73,33440.96,33329.74,176.04
2022-01-14T07:00+01:00,4090.04,36389.18,32387.5,190.97
2022-01-14T08:00+01:00,4089.97,36776.21,32411.94,216.99
2022-01-14T09:00+01:00,4093.09,36811.98,33593.04,196.91
2022-01-14T10:00+01:00,4091.89,36682.01,35702.32,162.92
2022-01-14T11:00+01:00,4088.64,36147.88,37482.96,160.04
2022-01-14T12:00+01:00,4090.04,36434.35,37164.38,154.01
2022-01-14T13:00+01:00,4087.19,37328.72,36315.33,152.29
2022-01-14T14:00+01:00,4084.83,37569.78,34139.32,186.94
2022-01-14T15:00+01:00,4081.39,38489.88,29677.53,217.18
2022-01-14T16:00+01:00,4072.97,39091.95,24847.05,224.91
2022-01-14T17:00+01:00,4078.58,40016.94,23125.39,262
2022-01-14T18:00+01:00,4082.81,40706.27,20873.07,260.04
2022-01-14T19:00+01:00,4085.3,40858.04,18790.74,234.32
2022-01-14T20:00+01:00,3976.87,40462.29,16901.06,215.04
2022-01-14T21:00+01:00,3921.31,40143.66,15115.88,204.39
2022-01-14T22:00+01:00,3927.57,39775.21,13652.84,194.29
2022-01-14T23:00+01:00,3926.46,39175.84,12706.04,184.9
2022-01-15T00:00+01:00,3936.43,36891.73,12476.33,222.01
2022-01-15T01:00+01:00,3942.34,35422.38,12501.25,205.08
2022-01-15T02:00+01:00,3930.92,34758.55,12347.82,194.62
2022-01-15T03:00+01:00,3928.92,33816.79,12179.35,182.64
2022-01-15T04:00+01:00,3925.1,34100.89,11627.16,187.83
2022-01-15T05:00+01:00,3920.88,34341.34,11527.19,190.58
2022-01-15T06:00+01:00,3914.97,35142.22,11279.42,190.27
2022-01-15T07:00+01:00,3910.61,36399.65,11012.72,204.46
2022-01-15T08:00+01:00,4010.41,36993.17,10771.71,212.84
2022-01-15T09:00+01:00,4016.58,37675.42,11644.07,230
2022-01-15T10:00+01:00,4018.06,37751.01,13806.74,222.39
2022-01-15T11:00+01:00,4014.94,37787.27,16013.17,214.92
2022-01-15T12:00+01:00,4017.17,37707.77,16691.28,208.43
2022-01-15T13:00+01:00,4015.52,37614.37,16017.63,200
2022-01-15T14:00+01:00,4008.43,37706.61,14636.45,203.09
